Time			Process		PID	Message		
----------		-------		-----	-------
Apr 22 19:58:22 	kea-dhcp4 	20406 	INFO [kea-dhcp4.lease-cmds-hooks.0x1ba3d0c12000] LEASE_CMDS_INIT_OK loading Lease Commands hooks library successful
Apr 22 19:58:22 	kea-dhcp4 	20406 	INFO [kea-dhcp4.hooks.0x1ba3d0c12000] HOOKS_LIBRARY_LOADED hooks library /usr/local/lib/kea/hooks/libdhcp_lease_cmds.so successfully loaded
Apr 22 19:58:22 	kea-dhcp4 	20406 	INFO [kea-dhcp4.dhcp4.0x1ba3d0c12000] DHCP4_CONFIG_COMPLETE DHCPv4 server has completed configuration: added IPv4 subnets: 1; DDNS: disabled
Apr 22 19:58:22 	kea-dhcp4 	20406 	INFO [kea-dhcp4.dhcpsrv.0x1ba3d0c12000] DHCPSRV_MEMFILE_DB opening memory file lease database: name=/var/lib/kea/dhcp4.leases persist=true type=memfile universe=4
Apr 22 19:58:22 	kea-dhcp4 	20406 	INFO [kea-dhcp4.dhcpsrv.0x1ba3d0c12000] DHCPSRV_MEMFILE_LEASE_FILE_LOAD loading leases from file /var/lib/kea/dhcp4.leases
Apr 22 19:58:22 	kea-dhcp4 	20406 	INFO [kea-dhcp4.dhcpsrv.0x1ba3d0c12000] DHCPSRV_MEMFILE_EXTRACT_EXTENDED_INFO4 extracting extended info saw 0 leases, extended info sanity checks modified 0 / updated 0 leases and 0 leases have relay or remote id
Apr 22 19:58:22 	kea-dhcp4 	20406 	INFO [kea-dhcp4.dhcpsrv.0x1ba3d0c12000] DHCPSRV_MEMFILE_LFC_SETUP setting up the Lease File Cleanup interval to 3600 sec
Apr 22 19:58:22 	kea-dhcp4 	20406 	INFO [kea-dhcp4.dhcpsrv.0x1ba3d0c12000] DHCPSRV_CFGMGR_USE_ALLOCATOR using the iterative allocator for V4 leases in subnet 10.10.10.0/24
Apr 22 19:58:22 	kea-dhcp4 	20406 	WARN [kea-dhcp4.dhcp4.0x1ba3d0c12000] DHCP4_MULTI_THREADING_INFO enabled: yes, number of threads: 2, queue size: 64
Apr 22 19:58:22 	kea-dhcp4 	20406 	INFO [kea-dhcp4.dhcp4.0x1ba3d0c12000] DHCP4_STARTED Kea DHCPv4 server version 2.4.0 started
Apr 22 19:58:22 	kea-dhcp6 	20611 	INFO [kea-dhcp6.hosts.0x17bb68612000] HOSTS_BACKENDS_REGISTERED the following host backend types are available:
